"Apartamento en Arriendo, GILMAR Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-gilmar-3-habitaciones-2-banos-1-garajes/391-53807,$1.150.000,60.0 m2,-74.06388649,4.7469717
"Apartamento en Arriendo, LA PICOTA SUR Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-picota-sur-3-habitaciones-2-banos/3222-2645,$650.000,46.0 m2,-74.11749032,4.53132236
"Apartamento en Arriendo, SUBA URBANO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-suba-urbano-3-habitaciones-2-banos-0-garajes/2444-2105,$914.000,55.0 m2,-74.08177691,4.73665221
"Apartamento en Arriendo, CHICO NORTE III Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-iii-4-habitaciones-4-banos-2-garajes/34-56884,$6.000.000,228.0 m2,-74.05598101,4.68123035
"Apartamento en Arriendo, CHAPINERO CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/507-577,$1.326.000,63.0 m2,-74.06320526,4.6415968
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-3-habitaciones-4-banos-0-garajes/2412-388437,$2.200.000,157.0 m2,-74.03368425,4.70016057
"Apartamento en Arriendo, EL NOGAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-nogal-1-habitaciones-2-banos-2-garajes/2412-477717,$4.900.000,150.0 m2,-74.05021342,4.66304769
"Apartamento en Arriendo, LOS CEDRITOS Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-1-banos-1-garajes/34-56908,$1.500.000,32.0 m2,-74.04871533,4.72341435
"Apartamento en Arriendo, VILLAS DEL MEDITERRANEO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villas-del-mediterraneo-3-habitaciones-2-banos-2-garajes/2412-477738,$2.200.000,106.0 m2,-74.03283115,4.73328177
"Apartamento en Arriendo, FLORIDA BLANCA NORTE Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-florida-blanca-norte-3-habitaciones-2-banos-0-garajes/34-56905,$1.050.000,64.0 m2,-74.10864328,4.69679477
"Apartamento en Arriendo, PARQUES DE LORENA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-parques-de-lorena-3-habitaciones-4-banos-3-garajes/2671-4635,$3.600.000,148.0 m2,-74.03525862,4.73204692
"Apartamento en Arriendo, A.S.D. Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-a.s.d.-3-habitaciones-4-banos-3-garajes/2529-11227,$6.500.000,220.0 m2,-74.0579092,4.63882634
"Apartamento en Venta Y Arriendo, SANTA BARBARA OCCIDENTAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-barbara-occidental-2-habitaciones-3-banos-2-garajes/5175-445,$2.200.000,116.0 m2,-74.04433545,4.70175897
"Apartamento en Arriendo, PUENTE LARGO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puente-largo-2-habitaciones-2-banos-2-garajes/2529-3464,$1.700.000,78.0 m2,-74.06517797,4.69372262
"Apartamento en Arriendo, PUENTE LARGO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puente-largo-3-habitaciones-4-banos-2-garajes/2444-2070,$4.000.000,172.0 m2,-74.06791327,4.70181763
"Apartamento en Arriendo, MODELIA OCCIDENTAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-modelia-occidental-1-habitaciones-2-banos-1-garajes/183-12402,$1.178.000,70.0 m2,-74.12598117,4.67035787
